name,slug,collectionId,itemId,createdOn,updatedOn,publishedOn,startDate,endDate,month,location,link,company,leader,leaderUnknown,training,isOneDayEvent
5a-beginning-pistol-&-shotgun-12-04-21,5a-beginning-pistol-shotgun-12-04-21,614ba59ab06974e11183d34a,61565adbe72ce5426bd15b2f,Fri Oct 01 2021 00:48:27 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 00:49:46 GMT+0000 (Coordinated Universal Time),,Sat Dec 04 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Dec 04 2021 00:00:00 GMT+0000 (Coordinated Universal Time),December,"Lytle Creek, CA",https://5arrowstactical.com/class-schedule/,5-arrows-tactical-training,,false,5a-beginning-pistol-shotgun,false
5a-defensive-pistol-level-1-11-06-21,5a-defensive-pistol-level-1-11-06-21,614ba59ab06974e11183d34a,61565a8a213c46a02a1f026a,Fri Oct 01 2021 00:47:06 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 00:47:06 GMT+0000 (Coordinated Universal Time),,Sat Nov 06 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Nov 06 2021 00:00:00 GMT+0000 (Coordinated Universal Time),November,"Lytle Creek, CA",https://5arrowstactical.com/class-schedule/,5-arrows-tactical-training,,false,5a-defensive-pistol-level-1,false
5a-tactical-carbine-with-sidearm-level-2-10-16-21,5a-tactical-carbine-with-sidearm-level-2,614ba59ab06974e11183d34a,615646425d24bed6211022f7,Thu Sep 30 2021 23:20:34 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 00:47:24 GMT+0000 (Coordinated Universal Time),,Sat Oct 16 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Oct 16 2021 00:00:00 GMT+0000 (Coordinated Universal Time),October,"Lytle Creek, CA",https://5arrowstactical.com/class-schedule/,5-arrows-tactical-training,,false,5a-tactical-carbine-with-sidearm,true
aft-advanced-pistol-III-11-13-21,aft-advanced-pistol-iii-11-13-21,614ba59ab06974e11183d34a,6154c716f4edf0cb0c69427d,Wed Sep 29 2021 20:05:42 GMT+0000 (Coordinated Universal Time),Wed Sep 29 2021 20:22:04 GMT+0000 (Coordinated Universal Time),Wed Sep 29 2021 20:56:34 GMT+0000 (Coordinated Universal Time),Sat Nov 13 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Nov 13 2021 00:00:00 GMT+0000 (Coordinated Universal Time),November,"Chino, CA",https://app.squarespacescheduling.com/schedule.php?appointmentType=26519147&owner=19724803,artifex-firearms-training,,false,artifex-advanced-pistol-iii,false
aft-ar-fundamentals-zeroing-and application-of-fire-10-16-21,aft-ar-fundamentals-zeroing-and-application-of-fire-10-16-21,614ba59ab06974e11183d34a,6154c497ed3d6376b5cc2802,Wed Sep 29 2021 19:55:03 GMT+0000 (Coordinated Universal Time),Wed Sep 29 2021 20:32:42 GMT+0000 (Coordinated Universal Time),Wed Sep 29 2021 20:56:34 GMT+0000 (Coordinated Universal Time),Sat Oct 16 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Oct 16 2021 00:00:00 GMT+0000 (Coordinated Universal Time),October,"Chino, CA",https://app.squarespacescheduling.com/schedule.php?appointmentType=26239533&owner=19724803,artifex-firearms-training,,false,artifex-fundamentals-zeroing-and-application-of-fire,false
aft-halloween-fun-shoot-10-30-21,aft-halloween-fun-shoot-10-30-21,614ba59ab06974e11183d34a,6154c6ab3facf22a35f2d818,Wed Sep 29 2021 20:03:55 GMT+0000 (Coordinated Universal Time),Wed Sep 29 2021 20:22:10 GMT+0000 (Coordinated Universal Time),Wed Sep 29 2021 20:56:34 GMT+0000 (Coordinated Universal Time),Sat Oct 30 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Oct 30 2021 00:00:00 GMT+0000 (Coordinated Universal Time),October,"Chino, CA",https://app.squarespacescheduling.com/schedule.php?appointmentType=26610258&owner=19724803,artifex-firearms-training,,false,artifex-halloween-fun-shoot,false
aft-progressive-handgun-10-30-21,aft-progressive-handgun-10-30-21,614ba59ab06974e11183d34a,6154c6044b90dc7257e7b507,Wed Sep 29 2021 20:01:08 GMT+0000 (Coordinated Universal Time),Wed Sep 29 2021 22:53:00 GMT+0000 (Coordinated Universal Time),Wed Sep 29 2021 22:53:53 GMT+0000 (Coordinated Universal Time),Sat Oct 30 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Oct 30 2021 00:00:00 GMT+0000 (Coordinated Universal Time),October,"Chino, CA",https://app.squarespacescheduling.com/schedule.php?appointmentType=26239015&owner=19724803,artifex-firearms-training,,false,artifex-progressive-handgun,false
css-critical-survival-skills-intensive-03-12-22,css-critical-survival-skills-intensive-03-12-22,614ba59ab06974e11183d34a,615531a35217b716bcbb1395,Thu Sep 30 2021 03:40:19 GMT+0000 (Coordinated Universal Time),Thu Sep 30 2021 03:40:31 GMT+0000 (Coordinated Universal Time),Thu Sep 30 2021 17:00:20 GMT+0000 (Coordinated Universal Time),Sat Mar 12 2022 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Mar 12 2022 00:00:00 GMT+0000 (Coordinated Universal Time),March,"Silverado, CA",https://www.californiasurvivaltraining.com/critical-skills-course,coyne-survival-schools,,false,coyne-survival-schools-all-ages-critical-survival-skills-intensive,false
css-critical-survival-skills-weekend-02-05-22,css-critical-survival-skills-weekend-02-05-22,614ba59ab06974e11183d34a,61552e6abe24f4d6cc9f59fa,Thu Sep 30 2021 03:26:34 GMT+0000 (Coordinated Universal Time),Thu Sep 30 2021 03:32:19 GMT+0000 (Coordinated Universal Time),Thu Sep 30 2021 17:00:20 GMT+0000 (Coordinated Universal Time),Sat Feb 05 2022 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Feb 06 2022 00:00:00 GMT+0000 (Coordinated Universal Time),February,"Angelus Oaks, CA",https://www.californiasurvivaltraining.com/weekend-critical-skills,coyne-survival-schools,,false,coynes-survival-schools-critical-survival-skills-weekend,false
css-the-apothecary-healing-with-wild-plants-06-26-22,css-the-apothecary-healing-with-wild-plants-06-26-22,614ba59ab06974e11183d34a,615530adb498df09df6a3241,Thu Sep 30 2021 03:36:13 GMT+0000 (Coordinated Universal Time),Thu Sep 30 2021 17:00:10 GMT+0000 (Coordinated Universal Time),Thu Sep 30 2021 17:00:20 GMT+0000 (Coordinated Universal Time),Sun Jun 26 2022 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Jun 26 2022 00:00:00 GMT+0000 (Coordinated Universal Time),June,"Silverado, CA",https://www.californiasurvivaltraining.com/apothecary-course,coyne-survival-schools,,false,coynes-survival-school-the-apothecary,false
